                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4982,                 3.1532,                 1.4471,                0.68895,                0.61567,                 0.6801,                0.46411,                0.95984,                 2.5607,                 1.0575,             0.00021816,             0.00021816,             0.00021816
                      2,                0.76626,                0.89013,                0.97136,                0.83412,                0.86166,                0.92296,                0.68414,                0.75266,                 1.1025,                0.92135,               0.000441,               0.000441,               0.000441
                      3,                0.68381,                0.62813,                0.92834,                0.93399,                0.88074,                0.95133,                0.71614,                0.70221,                0.99432,                0.91037,             0.00065934,             0.00065934,             0.00065934
                      4,                0.63619,                0.55094,                0.90856,                0.96396,                0.95931,                0.98659,                0.76069,                0.69823,                0.53823,                0.90644,             0.00087318,             0.00087318,             0.00087318
                      5,                0.60978,                0.49115,                0.90112,                0.95345,                0.90249,                0.96184,                0.73294,                0.74434,                0.73189,                 0.9437,               0.000873,               0.000873,               0.000873
                      6,                0.60881,                0.46566,                0.89924,                0.97254,                0.97124,                0.99299,                0.75731,                0.68073,                0.49321,                0.87696,               0.000864,               0.000864,               0.000864
                      7,                0.57866,                0.43917,                0.89047,                0.98706,                0.97653,                0.99294,                0.76501,                0.67872,                0.44872,                0.87492,             0.00085501,             0.00085501,             0.00085501
                      8,                0.57845,                0.43854,                0.89488,                0.95582,                0.95314,                0.98454,                0.75264,                0.69055,                0.49508,                0.89498,             0.00084601,             0.00084601,             0.00084601
                      9,                0.57205,                0.41479,                0.88817,                0.98665,                0.98332,                0.98984,                0.77494,                0.63862,                0.39846,                0.86611,             0.00083701,             0.00083701,             0.00083701
                     10,                0.56338,                0.40938,                0.88629,                0.98603,                0.99164,                0.99344,                0.78331,                0.62565,                0.40545,                0.86121,             0.00082801,             0.00082801,             0.00082801
                     11,                0.54264,                0.39542,                 0.8774,                  0.993,                0.99306,                0.99399,                0.78839,                0.60511,                0.37416,                0.85119,             0.00081901,             0.00081901,             0.00081901
                     12,                0.54216,                0.38656,                0.88109,                 0.9926,                0.99359,                0.99414,                0.79381,                0.60341,                0.39723,                0.84317,             0.00081001,             0.00081001,             0.00081001
                     13,                0.53514,                0.37687,                0.87514,                0.99025,                0.99561,                0.99425,                0.78754,                0.63052,                0.37306,                0.86824,             0.00080101,             0.00080101,             0.00080101
                     14,                 0.5366,                0.37632,                0.88332,                0.99693,                0.99588,                 0.9942,                0.80403,                0.59707,                0.35825,                 0.8418,             0.00079201,             0.00079201,             0.00079201
                     15,                0.53845,                0.36777,                0.87937,                0.99207,                 0.9899,                0.99196,                0.80431,                0.60134,                0.36103,                0.84327,             0.00078301,             0.00078301,             0.00078301
                     16,                0.52823,                0.36416,                0.87128,                0.99113,                0.99104,                0.99364,                0.80919,                0.59071,                0.33993,                0.83247,             0.00077401,             0.00077401,             0.00077401
                     17,                0.51125,                0.35046,                0.86249,                0.99452,                0.99602,                0.99396,                0.81359,                0.58231,                 0.3428,                0.82669,             0.00076501,             0.00076501,             0.00076501
                     18,                0.50321,                0.34307,                0.86952,                0.99635,                0.99561,                0.99387,                0.80396,                0.60741,                0.34371,                 0.8311,             0.00075602,             0.00075602,             0.00075602
                     19,                0.51299,                0.34552,                 0.8704,                0.99197,                0.99493,                0.99416,                0.79828,                 0.5965,                0.34881,                0.83218,             0.00074702,             0.00074702,             0.00074702
                     20,                0.52035,                0.34328,                0.87266,                0.99611,                0.99561,                0.99421,                0.78978,                0.62511,                0.34632,                0.83076,             0.00073802,             0.00073802,             0.00073802
                     21,                0.51314,                0.34594,                0.87169,                0.99663,                0.99561,                0.99399,                0.79982,                0.60698,                0.35015,                0.83201,             0.00072902,             0.00072902,             0.00072902
                     22,                 0.4997,                0.34019,                0.87048,                0.99645,                0.99561,                0.99403,                0.81329,                 0.5751,                0.33291,                0.82852,             0.00072002,             0.00072002,             0.00072002
                     23,                0.49117,                0.33031,                0.86073,                0.99211,                0.99333,                0.99189,                0.81411,                0.57864,                0.33163,                0.84419,             0.00071102,             0.00071102,             0.00071102
                     24,                0.50624,                0.33822,                0.86647,                0.99228,                0.99775,                0.99364,                0.79545,                0.59798,                0.33083,                0.84165,             0.00070202,             0.00070202,             0.00070202
                     25,                0.50009,                 0.3269,                 0.8647,                0.99579,                0.99472,                0.99405,                0.80642,                 0.5959,                0.32452,                0.84185,             0.00069302,             0.00069302,             0.00069302
                     26,                0.48844,                0.32479,                0.86471,                0.99678,                0.99397,                 0.9939,                0.81164,                0.58835,                0.32345,                0.83808,             0.00068402,             0.00068402,             0.00068402
                     27,                0.48701,                0.31991,                0.85728,                0.99486,                0.99561,                0.99436,                0.80598,                0.58588,                0.31634,                0.84385,             0.00067502,             0.00067502,             0.00067502
                     28,                0.47582,                0.31764,                0.86334,                0.99533,                0.98983,                0.99431,                 0.8153,                0.58508,                0.33142,                0.83156,             0.00066602,             0.00066602,             0.00066602
                     29,                0.48374,                 0.3136,                0.86898,                0.99656,                0.99561,                0.99376,                0.81528,                0.58913,                0.32016,                0.82996,             0.00065703,             0.00065703,             0.00065703
                     30,                0.48543,                0.31757,                0.86101,                0.99636,                0.99561,                 0.9943,                0.80831,                0.58373,                0.33129,                0.82201,             0.00064803,             0.00064803,             0.00064803
                     31,                0.48609,                0.31808,                0.86416,                0.99091,                0.99561,                0.99393,                0.81896,                0.56918,                0.31402,                0.81726,             0.00063903,             0.00063903,             0.00063903
                     32,                0.49025,                0.32324,                0.86381,                0.99098,                0.99299,                0.99403,                0.81275,                0.57572,                0.31793,                0.82414,             0.00063003,             0.00063003,             0.00063003
                     33,                0.47504,                0.31044,                0.86453,                0.99555,                0.99561,                0.99422,                0.80365,                 0.5799,                 0.3249,                0.82566,             0.00062103,             0.00062103,             0.00062103
                     34,                0.46915,                0.30716,                0.86334,                0.99639,                0.99128,                0.99417,                0.81447,                0.57517,                 0.3106,                0.82114,             0.00061203,             0.00061203,             0.00061203
                     35,                0.48127,                 0.3186,                0.86511,                0.99149,                0.99561,                0.99412,                0.81651,                0.56717,                0.32106,                0.81538,             0.00060303,             0.00060303,             0.00060303
                     36,                0.47363,                0.30706,                0.85978,                0.99407,                0.99519,                0.99411,                0.81574,                0.56198,                 0.3059,                0.81324,             0.00059403,             0.00059403,             0.00059403
                     37,                0.47862,                0.30241,                0.86121,                0.99168,                0.99621,                0.99432,                0.80758,                0.57077,                0.30226,                0.81147,             0.00058503,             0.00058503,             0.00058503
                     38,                0.47693,                0.30551,                 0.8611,                0.99391,                0.99561,                0.99424,                0.80379,                0.58457,                 0.3053,                0.81979,             0.00057603,             0.00057603,             0.00057603
                     39,                0.47616,                0.30791,                0.86008,                0.99688,                 0.9944,                0.99425,                0.81888,                0.56191,                0.29486,                0.81762,             0.00056703,             0.00056703,             0.00056703
                     40,                0.46826,                0.29777,                0.85619,                0.99267,                0.99333,                 0.9939,                0.82334,                0.54508,                0.30288,                0.81882,             0.00055804,             0.00055804,             0.00055804
                     41,                0.47012,                 0.2964,                0.85696,                0.99474,                0.99104,                0.99349,                0.82787,                0.56756,                0.29671,                0.82265,             0.00054904,             0.00054904,             0.00054904
                     42,                0.46741,                0.29692,                0.85675,                0.99358,                0.99333,                0.99351,                0.82968,                0.54935,                0.29422,                 0.8176,             0.00054004,             0.00054004,             0.00054004
                     43,                0.46121,                0.29284,                0.85761,                0.99707,                0.99561,                0.99433,                0.82041,                0.56878,                0.29598,                0.81896,             0.00053104,             0.00053104,             0.00053104
                     44,                0.46615,                0.29511,                0.85229,                0.99406,                0.99328,                0.99423,                0.81172,                0.58638,                0.30772,                0.81965,             0.00052204,             0.00052204,             0.00052204
                     45,                0.46944,                0.29733,                0.85715,                0.99464,                0.99333,                  0.993,                0.81074,                0.59638,                0.32337,                 0.8253,             0.00051304,             0.00051304,             0.00051304
                     46,                0.45541,                0.28998,                0.85473,                0.99727,                0.99561,                0.99379,                0.81664,                0.57253,                0.28959,                0.82011,             0.00050404,             0.00050404,             0.00050404
                     47,                0.46215,                0.29652,                0.84813,                0.99389,                0.99322,                0.99359,                0.81621,                0.58848,                 0.3068,                0.83831,             0.00049504,             0.00049504,             0.00049504
                     48,                0.44942,                0.28139,                0.85198,                0.99334,                0.99333,                0.99338,                0.81919,                0.57265,                0.30019,                0.82973,             0.00048604,             0.00048604,             0.00048604
                     49,                0.45384,                 0.2788,                0.85379,                0.99274,                0.99333,                0.99309,                0.82368,                0.57353,                0.29185,                0.82104,             0.00047704,             0.00047704,             0.00047704
                     50,                0.45494,                0.28343,                0.85387,                0.99536,                0.99463,                0.99396,                0.83018,                0.55774,                0.29525,                0.81936,             0.00046804,             0.00046804,             0.00046804
                     51,                0.44246,                0.27601,                0.85257,                0.99218,                0.99136,                0.99376,                0.81732,                0.58623,                0.31624,                0.82707,             0.00045904,             0.00045904,             0.00045904
                     52,                0.44971,                  0.279,                 0.8592,                0.99573,                0.99557,                0.99434,                 0.8168,                0.56969,                0.29566,                0.81624,             0.00045005,             0.00045005,             0.00045005
                     53,                 0.4525,                0.27986,                0.85041,                0.99718,                0.99484,                0.99433,                0.82232,                0.56053,                0.28253,                0.81133,             0.00044105,             0.00044105,             0.00044105
                     54,                0.45204,                0.27674,                0.85425,                0.99514,                0.99339,                0.99433,                0.81882,                0.56287,                0.28214,                0.81504,             0.00043205,             0.00043205,             0.00043205
                     55,                0.44573,                0.27329,                0.85233,                0.99683,                0.99561,                0.99435,                0.81626,                0.57175,                0.28609,                0.82107,             0.00042305,             0.00042305,             0.00042305
                     56,                0.44507,                 0.2776,                 0.8468,                0.99551,                0.99561,                0.99431,                0.82575,                0.56007,                0.28824,                0.81715,             0.00041405,             0.00041405,             0.00041405
                     57,                0.44623,                0.27341,                0.85151,                0.99469,                0.99333,                0.99342,                0.82338,                0.57206,                0.28199,                 0.8215,             0.00040505,             0.00040505,             0.00040505
                     58,                0.44966,                0.28202,                0.85264,                0.99657,                0.99529,                0.99435,                0.82667,                0.56607,                 0.2804,                 0.8199,             0.00039605,             0.00039605,             0.00039605
                     59,                0.45439,                0.27977,                0.85557,                0.99619,                0.99513,                0.99429,                0.82388,                0.57754,                0.28554,                0.82444,             0.00038705,             0.00038705,             0.00038705
                     60,                0.44691,                0.27587,                0.85506,                0.99592,                0.99561,                0.99429,                 0.8251,                0.55553,                0.28687,                0.81397,             0.00037805,             0.00037805,             0.00037805
                     61,                0.44154,                0.26946,                0.85345,                0.99722,                0.99561,                0.99442,                0.83161,                0.54011,                0.27727,                0.81083,             0.00036905,             0.00036905,             0.00036905
                     62,                 0.4418,                0.26592,                0.85003,                 0.9973,                0.99561,                0.99442,                0.82936,                0.54814,                 0.2718,                0.81427,             0.00036005,             0.00036005,             0.00036005
                     63,                0.45239,                0.27413,                0.85652,                0.99745,                0.99561,                0.99442,                0.83346,                 0.5554,                0.27753,                0.81329,             0.00035106,             0.00035106,             0.00035106
                     64,                0.43451,                0.26029,                 0.8524,                0.99747,                0.99561,                0.99445,                0.83039,                0.54402,                0.27194,                0.81106,             0.00034206,             0.00034206,             0.00034206
                     65,                0.43749,                0.26447,                0.84697,                0.99682,                0.99561,                0.99439,                0.83434,                0.55301,                0.27684,                0.81751,             0.00033306,             0.00033306,             0.00033306
                     66,                 0.4348,                0.26104,                0.84865,                0.99614,                0.99561,                0.99429,                0.82518,                0.55549,                 0.2786,                0.81311,             0.00032406,             0.00032406,             0.00032406
                     67,                0.43456,                0.26135,                0.85096,                0.99693,                0.99561,                0.99427,                0.82505,                0.54864,                 0.2699,                0.80743,             0.00031506,             0.00031506,             0.00031506
                     68,                0.43612,                0.26102,                0.85337,                0.99596,                0.99489,                0.99418,                0.83166,                 0.5535,                 0.2764,                0.81061,             0.00030606,             0.00030606,             0.00030606
                     69,                0.43463,                0.25939,                0.84983,                0.99615,                0.99561,                0.99414,                 0.8265,                0.54885,                0.27084,                0.81471,             0.00029706,             0.00029706,             0.00029706
                     70,                0.42752,                0.25675,                0.84762,                0.99651,                0.99561,                 0.9942,                0.82701,                0.55483,                 0.2757,                0.81679,             0.00028806,             0.00028806,             0.00028806
                     71,                 0.4283,                0.25936,                0.84783,                0.99697,                0.99561,                0.99424,                0.83303,                 0.5474,                 0.2685,                0.82445,             0.00027906,             0.00027906,             0.00027906
